"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-03-25";54;"Berlin";11
"2020-03-26";53;"Berlin";11
"2020-03-27";55;"Berlin";11
"2020-03-28";56;"Berlin";11
"2020-03-29";52;"Berlin";11
"2020-03-30";48;"Berlin";11
"2020-03-31";48;"Berlin";11
"2020-04-01";45;"Berlin";11
"2020-04-02";43;"Berlin";11
"2020-04-03";41;"Berlin";11
"2020-04-04";35;"Berlin";11
"2020-04-05";40;"Berlin";11
"2020-04-06";39;"Berlin";11
"2020-04-07";34;"Berlin";11
"2020-04-08";29;"Berlin";11
"2020-04-09";28;"Berlin";11
"2020-04-10";27;"Berlin";11
"2020-04-11";33;"Berlin";11
"2020-04-12";30;"Berlin";11
"2020-04-13";32;"Berlin";11
"2020-04-14";34;"Berlin";11
"2020-04-15";49;"Berlin";11
"2020-04-16";40;"Berlin";11
"2020-04-17";32;"Berlin";11
"2020-04-18";30;"Berlin";11
"2020-04-19";31;"Berlin";11
"2020-04-20";29;"Berlin";11
"2020-04-21";32;"Berlin";11
"2020-04-22";31;"Berlin";11
"2020-04-23";30;"Berlin";11
"2020-04-24";27;"Berlin";11
"2020-04-25";28;"Berlin";11
"2020-04-26";26;"Berlin";11
"2020-04-27";28;"Berlin";11
"2020-04-28";29;"Berlin";11
"2020-04-29";29;"Berlin";11
"2020-04-30";27;"Berlin";11
"2020-05-01";24;"Berlin";11
"2020-05-02";23;"Berlin";11
"2020-05-03";26;"Berlin";11
"2020-05-04";27;"Berlin";11
"2020-05-05";23;"Berlin";11
"2020-05-06";38;"Berlin";11
"2020-05-07";27;"Berlin";11
"2020-05-08";20;"Berlin";11
"2020-05-09";23;"Berlin";11
"2020-05-10";25;"Berlin";11
"2020-05-11";24;"Berlin";11
"2020-05-12";26;"Berlin";11
"2020-05-13";23;"Berlin";11
"2020-05-14";22;"Berlin";11
"2020-05-15";22;"Berlin";11
"2020-05-16";21;"Berlin";11
"2020-05-17";21;"Berlin";11
"2020-05-18";22;"Berlin";11
"2020-05-19";20;"Berlin";11
"2020-05-20";20;"Berlin";11
"2020-05-21";19;"Berlin";11
"2020-05-22";16;"Berlin";11
"2020-05-23";17;"Berlin";11
"2020-05-24";20;"Berlin";11
"2020-05-25";20;"Berlin";11
"2020-05-26";20;"Berlin";11
"2020-05-27";20;"Berlin";11
"2020-05-28";20;"Berlin";11
"2020-05-29";18;"Berlin";11
"2020-05-30";17;"Berlin";11
"2020-05-31";16;"Berlin";11
"2020-06-01";18;"Berlin";11
"2020-06-02";13;"Berlin";11
"2020-06-03";13;"Berlin";11
"2020-06-04";18;"Berlin";11
"2020-06-05";15;"Berlin";11
"2020-06-06";15;"Berlin";11
"2020-06-07";16;"Berlin";11
"2020-06-08";17;"Berlin";11
"2020-06-09";18;"Berlin";11
"2020-06-10";15;"Berlin";11
"2020-06-11";14;"Berlin";11
"2020-06-12";16;"Berlin";11
"2020-06-13";15;"Berlin";11
"2020-06-14";14;"Berlin";11
"2020-06-15";19;"Berlin";11
"2020-06-16";29;"Berlin";11
"2020-03-01";23;"Bayern";9
"2020-03-02";27;"Bayern";9
"2020-03-03";25;"Bayern";9
"2020-03-04";26;"Bayern";9
"2020-03-05";32;"Bayern";9
"2020-03-06";33;"Bayern";9
"2020-03-07";28;"Bayern";9
"2020-03-08";35;"Bayern";9
"2020-03-09";42;"Bayern";9
"2020-03-10";49;"Bayern";9
"2020-03-11";56;"Bayern";9
"2020-03-12";81;"Bayern";9
"2020-03-13";100;"Bayern";9
"2020-03-14";97;"Bayern";9
"2020-03-15";94;"Bayern";9
"2020-03-16";98;"Bayern";9
"2020-03-17";95;"Bayern";9
"2020-03-18";92;"Bayern";9
"2020-03-19";94;"Bayern";9
"2020-03-20";95;"Bayern";9
"2020-03-21";90;"Bayern";9
"2020-03-22";96;"Bayern";9
"2020-03-23";78;"Bayern";9
"2020-03-24";70;"Bayern";9
"2020-03-25";67;"Bayern";9
"2020-03-26";65;"Bayern";9
"2020-03-27";65;"Bayern";9
"2020-03-28";71;"Bayern";9
"2020-03-29";62;"Bayern";9
"2020-03-30";60;"Bayern";9
"2020-03-31";56;"Bayern";9
"2020-04-01";56;"Bayern";9
"2020-04-02";53;"Bayern";9
"2020-04-03";50;"Bayern";9
"2020-04-04";52;"Bayern";9
"2020-04-05";53;"Bayern";9
"2020-04-06";49;"Bayern";9
"2020-04-07";47;"Bayern";9
"2020-04-08";45;"Bayern";9
"2020-04-09";42;"Bayern";9
"2020-04-10";42;"Bayern";9
"2020-04-11";41;"Bayern";9
"2020-04-12";40;"Bayern";9
"2020-04-13";42;"Bayern";9
"2020-04-14";43;"Bayern";9
"2020-04-15";74;"Bayern";9
"2020-04-16";58;"Bayern";9
"2020-04-17";41;"Bayern";9
"2020-04-18";39;"Bayern";9
"2020-04-19";40;"Bayern";9
"2020-04-20";41;"Bayern";9
"2020-04-21";38;"Bayern";9
"2020-04-22";36;"Bayern";9
"2020-04-23";36;"Bayern";9
"2020-04-24";36;"Bayern";9
"2020-04-25";36;"Bayern";9
"2020-04-26";35;"Bayern";9
"2020-04-27";35;"Bayern";9
"2020-04-28";36;"Bayern";9
"2020-04-29";35;"Bayern";9
"2020-04-30";35;"Bayern";9
"2020-05-01";31;"Bayern";9
"2020-05-02";29;"Bayern";9
"2020-05-03";33;"Bayern";9
"2020-05-04";33;"Bayern";9
"2020-05-05";47;"Bayern";9
